Date,Year,Month,Linear_Regression,Random_Forest,Gradient_Boosting,ARIMA,ARIMA_Lower,ARIMA_Upper,Ensemble,Ensemble_Std,Ensemble_Lower,Ensemble_Upper
2027-05-01,2027,5,523.1550416185976,520.0330200000002,523.7148896017027,582.484273535662,493.3532466734067,671.6153003979174,537.3468061889906,30.135214628593268,478.2817855169478,596.4118268610334
2027-06-01,2027,6,517.0031565431748,519.7618050000004,523.7540055804468,562.034764167968,471.4714308664361,652.5980974694999,530.6384328228975,21.11355609088025,489.25586288477217,572.0210027610227
2027-07-01,2027,7,525.3712161239282,519.4195600000003,520.8450295326076,561.3836157889679,469.4205901969835,653.3466413809523,531.7548553613759,19.914802749512376,492.7218419723317,570.7878687504202
2027-08-01,2027,8,518.9574988048621,517.0047200000004,519.8878019402264,548.2335393912118,454.89626122045206,641.5708175619716,526.0208900340751,14.857090100580326,496.9009934369377,555.1407866312126
2027-09-01,2027,9,517.559863047228,515.3646900000003,518.9400334911201,517.9065954260408,423.21693389827385,612.5962569538077,517.4427954910973,1.5043336568274441,514.4943015237155,520.391289458479
2027-10-01,2027,10,532.3748032575493,518.7116300000005,523.4988421513739,537.6540057088419,441.6318404813441,633.6761709363395,528.0598202794414,8.541246106207705,511.3189779112743,544.8006626476085
2027-11-01,2027,11,530.3212154433078,521.2416350000004,523.4252979453322,541.4422566015952,444.10618927029554,638.7783239328949,529.1076012475589,9.088061361757434,511.29500097851434,546.9202015166035
2027-12-01,2027,12,532.4682415072629,523.9711800000003,529.0516645447206,560.0834373658635,461.4511259905239,658.715748741203,536.3936308544618,16.17443835809698,504.6917316725917,568.0955300363319
2028-01-01,2028,1,521.8908991308936,520.1275000000002,520.5779164100022,563.4530802775724,463.5414088002278,663.364751754917,531.5123489546171,21.306956727383863,489.7507137689447,573.2739841402895
2028-02-01,2028,2,525.8067580372536,521.3515500000005,525.0617527930103,530.8114692772542,428.84053799581693,632.7824005586915,525.7578825268797,3.8919357138783566,518.1296885276781,533.3860765260813
2028-03-01,2028,3,521.3052710288788,521.3071700000004,524.5771379266417,582.549717263893,478.85688550321083,686.242549024575,537.4348240548535,30.116094191010188,478.40727944047353,596.4623686692335
2028-04-01,2028,4,533.5075175233778,521.1682050000004,525.0086240987038,569.0421328230492,463.77662513511086,674.3076405109875,537.1816198612828,21.85713152521461,494.34164207186217,580.0215976507034
2028-05-01,2028,5,523.5014872439747,520.0330200000003,523.7148896017027,589.6251000820056,482.86114602870646,696.3890541353047,539.2186242319208,33.64666600596635,473.2711588602267,605.1660896036149
2028-06-01,2028,6,517.4435606867509,519.6623100000004,523.7540055804468,569.1836831029138,460.9639036885625,677.4034625172652,532.510889842528,24.587850654044743,484.31870256060023,580.7030771244556
2028-07-01,2028,7,525.7725722305825,519.8388700000004,522.2734916745898,568.5256612408642,458.87882220971824,678.1725002720102,534.1026487865092,23.077538178274956,488.87067395709033,579.3346236159282
2028-08-01,2028,8,519.1537861774439,517.0047200000004,520.406285611936,555.3726808723773,444.3212046782148,666.4241570665397,527.9843681654394,18.31282665423579,492.09122792313724,563.8775084077415
2028-09-01,2028,9,517.9284902201312,515.3850700000004,518.9400334911201,525.0491049293398,412.61230947748993,637.4859003811897,519.3256746601478,4.0982460721855425,511.29311235866413,527.3582369616314
2028-10-01,2028,10,532.8164430311193,518.7116300000005,523.4988421513739,544.792571943548,430.9880880663559,658.59705582074,529.9548717815104,11.495459110127051,507.4237719256614,552.4859716373594
2028-11-01,2028,11,530.7716832438917,521.0687100000005,523.2369961324786,548.5857258562407,433.4301301334715,663.74132157901,530.9157788081529,12.49234778716679,506.430777145306,555.4007804709998
2028-12-01,2028,12,532.9645716471808,524.0008650000003,529.0516645447206,567.2281976265629,450.7373048012497,683.719090451876,538.3113247046161,19.623997817938797,499.8482889814561,576.7743604277762
2029-01-01,2029,1,522.3238999101143,519.9989900000002,520.5779164100022,570.6023215116269,452.791328163939,688.4133148593148,533.3757819579359,24.837359424935944,484.6945574850615,582.0570064308104
